Timestamp,Deployments
2017-02-22,1
2017-03-20,1
2017-03-25,1
2017-04-02,1
2017-04-06,1
2017-04-11,1
2017-04-14,2
2017-04-19,2
2017-04-22,1
2017-04-23,2
2017-04-29,1
2017-05-03,1
2017-05-07,1
2017-05-08,1
2017-05-11,2
2017-05-13,1
2017-05-16,1
2017-05-18,1
2017-05-19,3
2017-05-20,1
2017-05-21,1
2017-05-22,2
2017-05-26,1
2017-05-28,1
2017-05-29,1
2017-05-30,1
2017-05-31,2
2017-06-04,1
2017-06-05,1
2017-06-06,2
2017-06-07,1
2017-06-09,1
2017-06-10,1
2017-06-13,1
2017-06-14,1
2017-06-15,1
2017-06-16,1
2017-06-17,1
2017-06-18,1
2017-06-19,3
2017-06-20,7
2017-06-21,1
2017-06-22,2
2017-06-23,2
2017-06-24,5
2017-06-25,1
2017-06-27,3
2017-06-28,2
2017-06-30,2
2017-07-03,1
2017-07-04,1
2017-07-07,1
2017-07-10,2
2017-07-11,1
2017-07-12,1
2017-07-13,1
2017-07-14,1
2017-07-18,2
2017-11-08,1
2018-11-21,1
